resource_type,id,name,company,website,location,public_access,logo_url,description,text,attr:ingredientes_codigoObm,full_name,owner_id,owner_type,source_type,default_locale,description,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:extra_names,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
Concept,1,IGHT,,,por,,,Imunoglobulina humana antitétano,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico, ,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,2,SAT,,,por,,,Soro antitetânico,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,3,SARC,,,por,,,Soro antiaracnídico,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,4,SAESCOR,,,por,,,Soro antiescorpiônico,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,5,DT,,,por,,,Vacina difteria e tétano infantil,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,6,SAELAP,,,por,,,Soro antielapídico,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,7,SAR,,,por,,,Soro antirrábico,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,8,SABOTR,,,por,,,Soro antibotrópico (pentavalente),,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,9,HepB,,,por,,,Vacina hepatite B,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,10,SAD,,,por,,,Soro antidiftérico,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,11,SABOCR,,,por,,,Soro antibotrópico (pentavalente) e anticrotálico,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,12,SABOLA,,,por,,,Soro antibotrópico (pentavalente) e antilaquético,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Pharmacologic-Drug-Class,BRImunobiologico,,,,,,,,,,,,,,,,,,,Fully Specified,por
