"co_seq_id";"nu_vpid";"dt_vpiddt";"co_vpidprev";"st_invalid";"co_vtmid";"st_combprodcd";"no_nm";"nu_snomed";"co_basiscd";"dt_nmdt";"no_nmprev";"co_basis_prevcd";"co_nmchangecd";"no_abbrevnm";"st_sug_f";"st_glu_f";"st_pres_f";"st_cfc_free";"co_pres_statcd";"co_non_availcd";"dt_non_availdt";"co_df_indcd";"qt_udfs";"co_udfs_uomcd";"co_unit_dose_uomcd";"st_ftn";"st_horus";"ds_notification";"co_targetcd";"co_atcclscd";"co_anvsclscd";"au_audit_create_datetime";"au_audit_change_datetime";"au_audit_create_username";"au_audit_change_username";"nu_version";"st_registro_ativo";"st_change_approve"
"794717";@brasil17404320673;;;;"790516";;Ácido Acético 2%;"0";;;;;;;;;;;;;;;;;;;;;;;;"2021-09-27 17:50:00";"2022-03-02 16:20:00";;"1";;ACTIVE;PENDING
"794718";@brasil11434748657;;;;"790516";;Ácido Acético 3%;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2021-09-27 17:50:00";"2022-03-02 16:20:00";;"1";;ACTIVE;PENDING
"794719";@brasil14960781571;;;;"790516";;Ácido Acético 5%;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2021-09-27 17:50:00";"2022-03-02 16:20:00";;"1";;ACTIVE;PENDING
"794720";@brasil10499662197;;;;"790518";;Ácido Bórico 2%;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2021-09-27 17:50:00";"2022-03-02 16:20:00";;"1";;ACTIVE;PENDING
"794721";@brasil17615966578;;;;"790518";;Ácido Bórico 3%;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2021-09-27 17:50:00";"2022-03-02 16:36:40";;"1";;ACTIVE;PENDING
"794722";@brasil16580846612;;;;"11232";;Ácido Fólico 5%;"0";;;;;;;;;;;;;;;;;;;;;;;;"2021-09-27 17:50:00";"2022-03-02 16:36:40";;"1";;ACTIVE;PENDING
"794723";@brasil10056333634;;;;"42698";;Ácido Salicílico 20mg/g;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2021-09-27 17:50:00";"2022-03-11 18:51:45";;"1";;ACTIVE;PENDING
"794724";@brasil10539128640;;;;"790521";;Ácido Tricloroacético 30% solução;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2021-09-27 17:50:00";"2022-03-11 18:59:45";;"1";;ACTIVE;PENDING
"794725";@brasil12526642606;;;;"790521";;Ácido Tricloroacético 50% solução;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2021-09-27 17:50:00";"2022-03-11 19:00:07";;"1";;ACTIVE;PENDING
"794726";@brasil11015827422;;;;"790521";;Ácido Tricloroacético 60% solução;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2021-09-27 17:50:00";"2022-03-11 19:00:11";;"1";;ACTIVE;PENDING
